"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
104983,"Acevedo 220 y padilla","Armenia 1525 y Gorriti",753,2723.46936670462,"Miércoles"
4194,"1520 Billinghurst & Mansilla, Lucio Norberto, General","Armenia 1525 y Gorriti",616,1715.9928801573,"Viernes"
162730,"3508 Carcova","Armenia 1525 y Gorriti",351,1073.54493189196,"Martes"
453167,"2939 Cavia","Armenia 1525 y Gorriti",1432,4912.41060213652,"Lunes"
461230,"2875 Moreno","Armenia 1525 y Gorriti",2287,9219.26866138755,"Martes"
499013,"3302 Guardia Vieja & Aguero","Armenia 1525 y Gorriti",1178,4482.21703569935,"Jueves"
162730,"Lavalle & Acuña De Figueroa, Francisco","Armenia 1525 y Gorriti",295,1041.50119499375,"Jueves"
28130,"3051 San Martin De Tours","Armenia 1525 y Gorriti",1037,3344.68635073604,"Jueves"
147903,"Sarandi 1010","México & Lima",918,3364.43670616136,"Miércoles"
440910,"2939 Cavia","Av. Pres. Figueroa Alcorta 2120",535,2151.02994122976,"Sábado"
87265,"Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador","Av. Pres. Figueroa Alcorta 2120",574,1989.09934124418,"Jueves"
435964,"Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador","Av. Pres. Figueroa Alcorta 2120",392,1380.92440595695,"Miércoles"
72922,"Av. Pres. Figueroa Alcorta 2120","Av. Pres. Figueroa Alcorta 2120",1658,5658.07035583291,"Lunes"
139050,"Av. Pres. Figueroa Alcorta 2120","Av. Pres. Figueroa Alcorta 2120",1745,5852.53572379265,"Jueves"
375650,"2133 Figueroa Alcorta","Av. Pres. Figueroa Alcorta 2120",1003,3466.65108369941,"Jueves"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",488,1372.08936731331,"Martes"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",637,1858.8730235293,"Lunes"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",605,2384.72064920966,"Jueves"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",679,2478.67591789529,"Martes"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",521,1695.06742832147,"Viernes"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",462,1769.06930681629,"Jueves"
456267,"3051 San Martin De Tours","Av. Pres. Figueroa Alcorta 2120",523,1520.66390998759,"Jueves"
4194,"Santa Fe Av. & Bullrich, Int. Av.","1226 Ecuador & Mansilla, Lucio Norberto, General",788,2945.78475317038,"Martes"
138196,"2000 Vicente Lopez","1226 Ecuador & Mansilla, Lucio Norberto, General",817,2323.5512100933,"Viernes"
198972,"Miller & Monroe","1226 Ecuador & Mansilla, Lucio Norberto, General",2457,10101.3243201451,"Miércoles"
68674,"Guayaquil & Doblas","1226 Ecuador & Mansilla, Lucio Norberto, General",1808,7384.69480322157,"Sábado"
198972,"Av. Del Libertador, 3260","1226 Ecuador & Mansilla, Lucio Norberto, General",1077,3314.66552773394,"Martes"
68674,"141 Jose Maria Moreno","1226 Ecuador & Mansilla, Lucio Norberto, General",2025,7648.4257102129,"Martes"
68674,"141 Jose Maria Moreno","1226 Ecuador & Mansilla, Lucio Norberto, General",2062,6250.42018883008,"Viernes"
68674,"141 Jose Maria Moreno","1226 Ecuador & Mansilla, Lucio Norberto, General",2509,10372.0157341799,"Viernes"
126255,"México & Lima","Moreno & Av Paseo Colon",287,952.400506756385,"Martes"
198972,"Triunvirato Av. & Roosevelt Franklin D. Av.","Moreno & Av Paseo Colon",3715,13104.4013122947,"Domingo"
5625,"Villaflor, Azucena & Dealessi, Pierina","Moreno & Av Paseo Colon",989,2971.19538716442,"Domingo"
75041,"137 Aranguren, Juan F., Dr. & Portugal","Riobamba 1264 & Juncal",1825,6987.00759058637,"Martes"
118813,"2516 Pereyra Lucena","Riobamba 1264 & Juncal",877,2746.60805163569,"Sábado"
17075,"3822 Guemes","Riobamba 1264 & Juncal",942,3359.22454427734,"Viernes"
104983,"Av. Guzman 1100 & Av. Corrientes","Av Guzman 129 & Leiva",266,743.413730690696,"Martes"
545148,"Santa Fe Av. & Dorrego","Av Guzman 129 & Leiva",868,2966.10637607907,"Miércoles"
54366,"Godoy Cruz  3279 y Libertador","Godoy Cruz  3279 y Libertador",2505,7074.67257395426,"Jueves"
118813,"2516 Pereyra Lucena","Godoy Cruz  3279 y Libertador",1199,4298.25514319139,"Martes"
